,Name,Degree,Betweenness Centrality,Eigenvector Centrality
0,Chatillon,3,0.0,0.11048042043470586
1,KingJohn,20,0.39263353489543973,0.415529124477519
2,QueenEleanor,9,0.03236646510456034,0.24690501205813387
3,Essex,2,0.0,0.07650489060013044
4,Bastard,16,0.2594293272864701,0.34941357298082104
5,RobertFaulc,2,0.0,0.0883438911130458
6,LadyFaulc,1,0.0,0.040354124644980505
7,Gurney,1,0.0,0.040354124644980505
8,Arthur,8,0.046119929453262785,0.2301695716642672
9,KingPhilip,11,0.09991496598639456,0.2941853584467601
10,Lewis,10,0.08493008314436885,0.2829693654619046
11,Austria,6,0.000992063492063492,0.2136954489154116
12,Constance,9,0.014581758629377673,0.26897264446791774
13,Blanche,4,0.000992063492063492,0.15208791567573554
14,Citizen,5,0.06252204585537918,0.1533670828545918
15,FrenchHerald,2,0.006261022927689595,0.03650806760948164
16,EnglishHerald,2,0.0013227513227513227,0.021928720110873347
17,Salisbury,10,0.06857205845301084,0.25415735668860473
18,Pandulph,7,0.0024029982363315697,0.23925832249880905
19,Hubert,7,0.03845427059712774,0.18258196521037315
20,Executioner,2,0.0,0.04766916493234274
21,Pembroke,7,0.031361803980851595,0.1731826729585804
22,1Messenger,1,0.0,0.04798976646806568
23,Peter,1,0.0,0.04798976646806568
24,Bigot,4,0.0,0.1107950845991456
25,2Messenger,1,0.0,0.04798976646806568
26,Melun,2,0.0,0.04935424339380899
27,3Messenger,1,0.0,0.032680278122621344
28,PrinceHenry,4,0.0,0.1376981345068544
