,Name,Degree,Betweenness Centrality,Eigenvector Centrality
0,Gaunt,5,0.05630630630630631,0.17412930383643616
1,KingRichard,16,0.35162305162305163,0.3865927690428731
2,Bolingbroke,19,0.2632167882167882,0.44489696516298366
3,Mowbray,3,0.0,0.13293456291572509
4,DuchessGlouc,1,0.0,0.022547040620750306
5,Aumerle,13,0.13448090948090946,0.3105827482031678
6,Marshal,7,0.10833333333333334,0.19515768297677433
7,2Herald,2,0.0,0.029028750900137547
8,1Herald,2,0.0,0.029028750900137547
9,Green,5,0.00972043472043472,0.1777140442681299
10,Bushy,6,0.011472186472186473,0.21160141317273165
11,York,10,0.10898040898040898,0.29559814007614604
12,Queen,8,0.25237737737737737,0.18115193659006587
13,Northumberland,9,0.06329901329901332,0.2563348125842542
14,Ross,3,0.0,0.10934392195175999
15,Willoughby,4,0.001001001001001001,0.14323129085636174
16,Servingman,1,0.0,0.038275232665184074
17,Bagot,4,0.0015515515515515514,0.14823263109571527
18,Percy,3,0.0005505505505505505,0.1310133009653847
19,Berkeley,2,0.0,0.09079793680755675
20,Salisbury,3,0.05405405405405406,0.09181253559747733
21,WelshCaptain,1,0.0,0.011888323484818303
22,Carlisle,5,0.004804804804804805,0.19704099679014608
23,Scroop,2,0.0,0.09027316663686816
24,1Lady,1,0.0,0.02345648888427482
25,2Lady,1,0.0,0.02345648888427482
26,Gardener,3,0.1066066066066066,0.024270441803174503
27,1Man,1,0.0,0.003142743878950773
28,2Man,1,0.0,0.003142743878950773
29,Fitzwater,3,0.006156156156156155,0.10478622245525761
30,Surrey,2,0.0,0.05378340287495748
31,Abbot,3,0.0,0.12333577191556275
32,DuchessOfYork,3,0.0,0.13609743546091946
33,1Servant,1,0.0,0.014424593507245382
34,Exton,4,0.1066066066066066,0.11140017175423954
35,2Servant,1,0.0,0.014424593507245382
36,Groom,2,0.0,0.05750375289938972
37,Keeper,2,0.0,0.05750375289938972
